username,timestamp,comment_text,likes,replies,post_id
adityassatriaa,2025-10-06T13:20:00,$EMASsesi 2 biasanyaa 🚀🚀,0,0,21782317
arebos,2025-10-06T12:46:00,"Emas ya$ARCI, bukan$EMASimitasi.",3000,0,21781175
rustlezhra,2025-10-06T12:32:00,$EMASlagi koreksi yaa kamu?,2000,1,21780767
SURATNO005,2025-10-06T12:26:00,"$EMASkasih kesempatan buat koreksi dulu. jangan di kejar terus, yang lain juga mau take profit. 🤣#dyor",2000,5,21780574
nextsaham,2025-10-06T12:25:00,coba di vote dulu dong kelakuan bandar di$DADAini$EMAS$BUMI,0,20,21780535
kommal,2025-10-06T12:11:00,"Harga Emas semakin meroket tapi emiten emas ketinggalan di landasan pacu$MDKA$ANTM$EMAS, hanya ARCI, PSAB dan HRTA yang sedang mulai menyusul",1000,2,21780000
ErniLestari,2025-10-06T12:04:00,$EMAS,2000,0,21779629
bayInvest,2025-10-06T11:57:00,$XAU$ANTM$EMASgo 4000 🏅,3000,0,21779082
HasanSA,2025-10-06T11:51:00,$DFAMgass 🚀$CDIA$EMAS,1000,0,21778667
StockbitNews,2025-10-06T11:45:00,"Jakarta, CNBC Indonesia — IHSG ditutup menguat sebesar 0,59% ke level 8.118,30, pada akhir pekan lalu, Jumat (3/10/2025). Saham-saham yang menjadi leading movers antara lain BREN (+4,09%), MLPT (+10,00%), dan GOTO (+5,56%), sementara TLKM (-1,92%), BMRI (-1,15%), dan SMMA (-3,12%) tercatat sebaga...",3000,0,21778059
Waldens,2025-10-06T11:44:00,"saham begini biasanya disukai remora trader, jadi kalau naik cepat trus turun langsung cepat TP, saya mengalaminya waktu di$EMASkemarin... remora trader itu untung 900jutaan dipostingan IGnya...",1000,2,21778035
jeannyjeanny,2025-10-06T11:44:00,$EMASasiikk naik dikit2 lama2 jadi💸💸💸,1000,0,21777948
MorisonHutabarat,2025-10-06T11:43:00,"$EMASminggu lalu sudah menuai hasil beberapa kali, sekarang waktunya menabur bibit kembali. Harga kembali di bawah level ARA-2 IPO. Msh banyak kesempatan untuk menuai kembali. Semangka dan jeruk buat yg nyangkut💪💪",1000,0,21777893
Faisal171217,2025-10-06T11:42:00,$EMAStuk bisa yuk 3500 lagi yuk..,1000,3,21777794
Lukecs,2025-10-06T11:35:00,Dan naiklah tinggi tanpa merendahkan orang lain$EMAS,4000,0,21777171
kaarhmdn,2025-10-06T11:35:00,BULL PENANT HARUS GACOR🚀🚀🚀$PIPA$CBRE$EMAS,0,6,21777100
ElisSumiati,2025-10-06T11:34:00,"$CSMIBeli disaat merah, jual disaat hijau.. Jangan sampai kebalik$CBRE$EMAS",0,0,21776997
MakJaMan,2025-10-06T11:34:00,https://cutt.ly/Ur0DHUEQ$EMAS$COIN$MDKA,0,0,21776995
DagnaApta,2025-10-06T11:33:00,"$EMASmasih rame aja, alasan hold emas apa ya bg",0,1,21776911
DimasBastari,2025-10-06T11:32:00,@pikopratamamahmudambil aj tuh$EMAS,0,18,21776851
StockbitNews,2025-10-06T11:30:00,"STOCKWATCH.ID (JAKARTA) – Harga sejumlah saham pada pembukaan perdagangan saham pagi ini, Senin (06/10/2025) tampak terus menguat, beberapa di antaranya saham-saham lapis kedua.Menurut data RTI Business, harga saham UNVR naik 1,36% jadi Rp1.860 per saham. ASII naik 0,86% jadi Rp5.875, RAJA naik 6...",4000,1,21776662
RikiSaputra03,2025-10-06T11:21:00,cuma bisa ketawa sama😂$MBTObanyak hiburan random tag$CDIA$EMAS,0,1,21775914
Vidyakirana,2025-10-06T11:20:00,$EMASudh mulai redup kah???? atau koreksi,0,3,21775823
Timotius024,2025-10-06T11:16:00,$FUTR$COIN$EMAS,1000,0,21775351
wansi29,2025-10-06T11:07:00,"$EMAStaking profit receh dulu di 4390, buat makan  😁",1000,0,21774443
RochmatArba,2025-10-06T11:05:00,$KEJUGa ada yang nyadar ya dia dah mau ke TP 3 ahahahaTag :$CDIA$EMAS,2000,7,21774280
FaisalSyururi,2025-10-06T10:56:00,$EMAS$RAJA$CBRE,0,0,21773305
hanifnrr,2025-10-06T10:52:00,$CBPEhmmm menarikrandom tag$COIN$EMAS,222,2,21772785
krisnm,2025-10-06T10:50:00,$WIRGbefore and after hit target 1 corrective wave Arandom tag$COIN$EMAS,6000,0,21772626
skydrugz27,2025-10-06T10:44:00,"@dhwibowokita hanya manusia biasa yang sering lupa dan khilaf. Berkat Nyangkut, sekarang jadi rajin ibadah dan berdoa. 🗿Upgrade skillhttps://cutt.ly/Ve3nZHZf$CDIA$COIN$EMAS",3000,38,21772088
itsvraza,2025-10-06T10:44:00,$EMAS,4390,0,21772037
Ucil30Ai,2025-10-06T10:43:00,$EMASGua Terbang in ke 4.900 siap² untuk kado$CDIAGua kabur dulu yahh$MINATunggu Abang pompa dulu sampek hamil yah .. 😅,4000,2,21771959
FachrulR14,2025-10-06T10:42:00,$EMASPolanya sama dengan$COINya wkwkwkwk,3000,2,21771813
ellenagustian,2025-10-06T10:40:00,$EMASbisa ke 3000 dlu nih 😁,3000,2,21771656
Pramadoni,2025-10-06T10:38:00,$EMASjangan naik dulu please mampir 4000,0,1,21771438
hizkiabangun,2025-10-06T10:37:00,$EMASterpantau recehan ku masih bertempur 😆,2000,2,21771342
WayanMus,2025-10-06T10:36:00,$EMAScari dana buat bayar utang 🤣🤣🤣🤣. banyak fomo ternyata 😢😆,2000,1,21771213
NandoBillyE,2025-10-06T10:36:00,$EMASkesini dulu,4350,0,21771200
fahricell90,2025-10-06T10:33:00,"@ARAS251017@ARAS251017sok tau ente.fama fomo fama fomo 😂 .lgian 20 lot jg.emiten kek$EMASdi tnggu aj ,ga usah baper.",1000,17,21770913
zaenal271219,2025-10-06T10:30:00,komoditas emas$XAU3949ada potensi besar ke 3900$ANTMdalam kurun 4-60hariemiten$EMASsudah melampaui harga komoditas emas XAUberdasarkan tren harga ANTM 3bulan terakhircenderung mengikuti pergerakan harga komoditas emas XAUdo your own RESEARCH,2000,0,21770534
YehudaNathaniel,2025-10-06T10:29:00,$EMASkira kira emas nih belinya pas harga segini ya buat naik besok ? apakah ada tanda rally ?,0,2,21770420
RizkiFitrianti,2025-10-06T10:29:00,"$EMASbalik dulu ke 3200 ndar,",4340,0,21770388
AzwD,2025-10-06T10:27:00,$EMAS,4340,0,21770103
Ucil30Ai,2025-10-06T10:26:00,good bye$EMAS.. Pompa$MINADulu Guys 🤣,2000,7,21770093
Exatius,2025-10-06T10:25:00,$EMASdiskon nih serok lagi ah mumpung murah wkkwk,2000,0,21769946
DeVamp,2025-10-06T10:25:00,$EMAS,4330,4,21769933
Lukecs,2025-10-06T10:24:00,XAUUSD sudah di 3921Siap2 terbang XAUUSD 4000$EMAS,2000,0,21769831
Ucil30Ai,2025-10-06T10:24:00,$EMASGua Bye Guys Pompa$MINAdulu,1000,0,21769821
HariTarigan,2025-10-06T10:23:00,$EMASoptimis terbang lagi yah 🤪HOLDDDDD 🫵🫵,2000,3,21769666
natan88,2025-10-06T10:23:00,"$EMAS4300 an lg,kalau lg merah gini memang krg menarik...",0,0,21769624
darmanthe,2025-10-06T10:23:00,$EMASmau longsor jangan ditahan. . .nanti terbenam kalian 😂,0,4,21769570
FachrulR14,2025-10-06T10:22:00,"$EMASpolanya mirip coin nih diliat liat, apakah rebound nya sama?",4000,1,21769517
Bayurestusuganda,2025-10-06T10:22:00,$EMASada uang 114 miliyar yg udh nunggu d bawah ekwkwkwkwk,3000,3,21769506
fahricell90,2025-10-06T10:22:00,$EMASRungkad gra² ni saham 😂.,0,17,21769442
FransiskusNicholas,2025-10-06T10:22:00,$BRMSnaik ke 1115 hari ini bisa yah janji$PIPA$EMAS,4000,3,21769436
ARAS251017,2025-10-06T10:22:00,$EMASayok la ara,1000,0,21769427
Bayurestusuganda,2025-10-06T10:21:00,$EMAShari gini masih jual murah bahan bakunya aja mahal mending hold,2000,0,21769399
Vidyakirana,2025-10-06T10:21:00,$EMASpelan pelan aja optimis dari 0 lg,0,0,21769376
fajarakbarms,2025-10-06T10:20:00,$EMASdibeli dibeli dibeli 🤣,2000,0,21769179
Afarhan06,2025-10-06T10:19:00,$EMASAnjlok wkwk hari ini,1000,1,21769165
Ucil30Ai,2025-10-06T10:19:00,$EMASSELL GAK MASUK,1000,0,21769071
nandarifat,2025-10-06T10:18:00,$EMASwaktunya serok,1000,1,21769030
AryaBagaskaraP,2025-10-06T10:18:00,$EMASdipnya kapan nih biar bisa all in serok. Info info,0,0,21768958
Stivenchrist,2025-10-06T10:18:00,"Uda saat nya$EMAS$BTEK$WMUUuntuk terbang , kencangkan sabuk pengaman gaes 🫶🏻🫶🏻🚀🚀👨🏻‍✈️Kencang kencang Arb mu pak Sopirrr 🛫🛫Jgn kasih kendorr ….",6000,2,21768939
Kaptenzee,2025-10-06T10:17:00,$EMASmakanya jangan beli dibpucuk wowkwik,1000,0,21768897
adiyaja,2025-10-06T10:17:00,$EMASARB kan,1000,0,21768871
Agusie1976,2025-10-06T10:16:00,$EMAS$RAJA,0,0,21768775
Harfa95,2025-10-06T10:16:00,$EMAStolong2,0,0,21768770
BandarBaik2nd,2025-10-06T10:16:00,146 jebol baru dah ngacir$AISAnyaRandom Tags :$IHSG$EMAS,23000,7,21768757
Ucil30Ai,2025-10-06T10:14:00,$EMASMampus Gg Tuh,3000,7,21768485
